,账户,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,1日主力净流入-总净额(亿),5日主力净流入-总净额(亿),29日主力净流入-总净额(亿),1日涨跌幅(%),5日涨跌幅(%),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
24,自选股,光学光电子,300939,秋田微,42.0,42.0,40.85,3.05,34.9,-0.1,-1.1,-1.0,0.5,-9.1,8.7,21.9,7.72
25,自选股,家电行业,301362,民爆光电,47.0,13.0,22.1,1.93,45.22,-0.1,-0.8,-0.2,-0.4,-10.7,5.5,16.1,21.07
26,自选股,光学光电子,002876,三利谱,45.0,39.0,59.33,1.9,25.89,0.1,0.6,-0.6,2.0,-1.0,-2.2,6.5,1.49
27,自选股,通信设备,002902,铭普光磁,55.0,42.0,-37.66,6.22,23.41,-0.1,-1.3,-0.3,-0.4,-5.6,9.5,15.66,0.13
28,自选股,通信设备,300252,金信诺,81.0,68.0,785.23,3.72,12.23,-0.7,-2.9,-6.4,-0.8,-13.2,2.3,17.82,13.66
29,自选股,通信设备,300563,神宇股份,72.0,50.0,108.1,6.74,40.3,-0.1,-0.8,-2.2,-1.4,-7.3,3.9,6.33,-26.67
30,自选股,通信设备,835640,富士达,55.0,53.0,74.0,6.13,29.31,0.3,0.0,0.3,3.2,2.3,7.4,1.63,7.92
31,自选股,通信设备,002194,武汉凡谷,100.0,75.0,2814.51,4.02,14.6,-0.3,-1.7,-3.2,0.4,-6.9,9.0,0.48,30.94
32,自选股,通信设备,002792,通宇通讯,87.0,55.0,199.39,3.09,16.55,0.3,-1.2,-1.0,2.0,-8.9,1.8,13.12,11.37
33,自选股,通信设备,300698,万马科技,61.0,54.0,186.5,12.32,45.83,0.5,0.1,-4.0,3.8,-1.4,2.7,14.86,32.99
34,自选股,通信服务,300310,宜通世纪,59.0,46.0,-1662.8,3.09,6.66,0.2,0.2,-1.7,2.0,-2.3,3.3,2.15,-11.9
35,自选股,通信设备,300711,广哈通信,55.0,55.0,111.91,7.5,21.95,-0.0,-0.4,-1.2,0.7,-9.4,-0.8,5.78,-4.36
36,自选股,通信设备,000586,汇源通信,24.0,24.0,140.01,7.22,12.41,-0.0,-0.2,-0.2,1.6,-2.3,5.4,17.63,30.63
37,自选股,通用设备,300809,华辰装备,116.0,69.0,169.44,7.09,45.6,0.4,-0.5,-2.6,3.8,-1.4,5.1,36.53,44.4
38,自选股,小金属,000657,中钨高新,451.0,248.0,44.18,4.73,19.79,-1.3,-8.3,-16.1,2.7,-9.3,4.2,66.58,118.67
