,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
138,酿酒行业,603919,金徽酒,111.0,111.0,18.69,3.3,21.98,0.3,17.9,22.79,15.02
139,酿酒行业,600573,惠泉啤酒,30.0,30.0,37.78,2.24,11.96,-0.3,-1.2,0.42,6.98
140,酿酒行业,600559,老白干酒,165.0,164.0,25.72,3.18,18.04,-2.3,6.2,11.43,-11.74
141,酿酒行业,600197,伊力特,75.0,75.0,23.11,1.95,15.88,-1.0,6.6,12.7,-5.48
142,酿酒行业,002646,天佑德酒,48.0,48.0,46.74,1.66,10.04,-0.6,-0.5,9.01,-6.52
143,酿酒行业,000869,张  裕Ａ,149.0,101.0,40.07,1.41,22.14,-0.2,1.0,5.68,-2.85
144,酿酒行业,000860,顺鑫农业,120.0,120.0,34.77,1.7,16.21,-2.8,1.8,5.12,-16.1
145,有色金属,688257,新锐股份,45.0,45.0,22.47,2.02,17.95,-0.8,4.7,27.58,39.8
146,有色金属,688231,隆达股份,50.0,26.0,47.26,1.81,20.31,-1.0,2.9,19.26,43.53
147,有色金属,603876,鼎胜新材,103.0,103.0,27.5,1.43,11.12,0.7,15.8,28.11,26.51
148,有色金属,603527,众源新材,36.0,36.0,18.75,1.74,11.27,-0.6,0.7,12.93,19.51
149,有色金属,603271,永杰新材,81.0,16.0,21.67,2.95,40.93,-1.3,10.4,14.71,101.82
150,有色金属,603132,金徽股份,133.0,133.0,26.35,4.1,13.64,0.0,3.9,11.8,23.89
151,有色金属,601702,华峰铝业,171.0,171.0,15.03,2.95,17.17,0.4,5.9,9.85,-4.72
152,有色金属,601677,明泰铝业,165.0,161.0,8.75,0.9,13.23,-4.3,2.8,8.8,11.55
153,有色金属,601609,金田股份,196.0,196.0,26.22,2.02,11.33,-23.2,39.9,67.11,95.68
154,有色金属,600961,株冶集团,156.0,109.0,13.29,4.56,14.5,-0.5,21.6,30.75,84.24
155,有色金属,600888,新疆众和,103.0,103.0,13.22,0.93,7.37,-2.2,1.7,10.49,7.91
156,有色金属,600531,豫光金铅,109.0,109.0,11.25,1.91,10.0,1.5,21.7,33.33,61.29
157,有色金属,600490,鹏欣资源,132.0,119.0,46.61,2.11,5.96,-2.1,35.1,33.63,81.16
158,有色金属,600361,创新新材,167.0,65.0,23.56,1.54,4.45,-3.5,6.7,14.4,17.41
159,有色金属,600338,西藏珠峰,117.0,117.0,19.51,2.83,12.84,-7.3,4.9,24.54,20.9
160,有色金属,300697,电工合金,64.0,49.0,39.12,5.55,14.89,-3.0,2.9,26.72,55.75
161,有色金属,002996,顺博合金,51.0,31.0,14.33,1.61,7.56,-1.4,-1.0,3.42,14.72
162,有色金属,002978,安宁股份,152.0,119.0,17.27,1.82,32.28,-0.6,5.1,1.7,15.62
163,有色金属,002540,亚太科技,82.0,57.0,19.77,1.51,6.59,-0.2,10.4,14.81,10.57
164,有色金属,002171,楚江新材,153.0,152.0,30.49,1.81,9.43,-2.7,2.7,1.73,15.0
165,有色金属,000758,中色股份,133.0,132.0,15.05,2.23,6.66,-7.2,6.2,33.2,36.2
166,有色金属,000751,锌业股份,58.0,50.0,46.16,1.6,3.58,-1.2,4.4,16.99,27.4
167,有色金属,000688,国城矿业,169.0,169.0,16.24,4.98,15.03,-1.8,4.4,21.31,26.41
168,有色金属,000612,焦作万方,104.0,104.0,9.69,1.57,8.71,-4.7,0.3,13.71,38.47
