,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,1日主力净流入-总净额(亿),5日主力净流入-总净额(亿),29日主力净流入-总净额(亿),1日涨跌幅(%),5日涨跌幅(%),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
1412,电子元件,688800,瑞可达,149.0,149.0,47.43,6.73,72.4,-0.1,-1.0,-4.7,-0.9,-4.8,38.8,60.46,88.89
1413,电子元件,301631,壹连科技,85.0,18.0,31.22,3.54,93.32,-0.1,-0.4,-0.9,-1.1,-3.5,9.8,17.32,0.03
1414,电子元件,603989,艾华集团,75.0,75.0,25.51,2.0,18.79,-0.2,-0.5,-0.4,-1.2,-2.4,15.3,29.32,25.85
1415,电子元件,002922,伊戈尔,88.0,78.0,42.08,2.39,20.8,-0.3,-2.7,-2.0,-1.9,-14.0,25.4,33.16,18.72
1416,电子元件,002913,奥士康,119.0,113.0,30.36,2.72,37.47,-0.3,-0.7,0.4,-1.9,-8.6,-1.4,34.01,59.38
1417,电子元件,838701,豪声电子,31.0,23.0,45.19,3.86,22.77,-0.0,-0.0,0.0,-2.0,1.1,15.2,16.35,12.78
1418,电子元件,834950,迅安科技,18.0,9.0,34.96,5.81,23.88,-0.0,0.0,-0.3,-2.9,3.1,3.6,24.05,88.63
1419,电子元件,832110,雷特科技,17.0,7.0,40.85,4.8,42.52,-0.0,-0.0,0.1,-3.5,3.8,9.5,8.97,34.13
1420,电子元件,870357,雅葆轩,22.0,12.0,38.3,6.11,28.0,-0.3,-0.1,-0.1,-5.1,3.7,9.1,14.47,53.42
1421,化学制药,603676,卫信康,56.0,56.0,15.28,3.75,12.84,0.1,-0.0,-0.6,4.4,2.3,-2.6,18.56,31.42
1422,化学制药,002332,仙琚制药,109.0,108.0,17.6,1.81,10.97,0.3,0.2,-1.5,3.6,1.4,0.2,18.08,13.8
1423,化学制药,300702,天宇股份,97.0,59.0,32.3,2.66,27.76,-0.0,-0.2,-0.9,3.4,-2.4,6.7,15.28,67.13
1424,化学制药,002102,能特科技,110.0,96.0,16.17,3.28,4.43,-0.1,0.1,-1.8,3.0,6.2,6.0,38.01,69.08
1425,化学制药,603229,奥翔药业,95.0,95.0,27.95,3.9,11.4,0.2,-0.1,-2.3,2.9,-0.5,8.2,26.53,15.27
1426,化学制药,688117,圣诺生物,66.0,66.0,37.36,6.69,42.23,0.1,-0.4,-4.4,2.8,-5.1,0.3,24.46,131.52
