,行业,代码
670,通用设备,300179
671,通用设备,002122
672,通用设备,002639
673,通用设备,002008
674,通用设备,002871
675,通用设备,200706
676,通用设备,301107
677,通用设备,002480
678,通用设备,002514
679,通用设备,300554
680,通用设备,603391
681,通用设备,873169
682,通用设备,000969
683,通用设备,600992
684,通用设备,002795
685,通用设备,003043
686,通用设备,002445
687,通用设备,900910
688,通用设备,300260
689,通用设备,000816
690,通用设备,831689
691,通用设备,900920
692,通用设备,688333
693,通用设备,000595
694,通用设备,688433
695,通用设备,300095
696,通用设备,300985
697,通用设备,873570
698,通用设备,200771
699,通用设备,600243
700,通用设备,603109
701,通用设备,002342
702,通用设备,301311
703,通用设备,301079
704,通用设备,300700
705,通用设备,873305
706,化学制药,300006
707,化学制药,688189
708,化学制药,300942
709,化学制药,600513
710,化学制药,002940
711,化学制药,603811
712,化学制药,688117
713,化学制药,688131
714,化学制药,300583
715,化学制药,300723
716,化学制药,301075
717,化学制药,688166
718,化学制药,688266
719,化学制药,688356
720,化学制药,301130
721,化学制药,688513
722,化学制药,688578
723,化学制药,603351
724,化学制药,000623
725,化学制药,002437
726,化学制药,002773
727,化学制药,300497
728,化学制药,300158
729,化学制药,000952
730,化学制药,000908
731,化学制药,603222
732,化学制药,002019
733,化学制药,688670
734,化学制药,000513
735,化学制药,300255
736,化学制药,002653
737,化学制药,002898
738,化学制药,603669
739,化学制药,002082
740,化学制药,002102
741,化学制药,688192
742,化学制药,300401
743,化学制药,003020
744,化学制药,600812
745,化学制药,688247
746,化学制药,300267
747,化学制药,300966
748,化学制药,300636
749,化学制药,002793
750,化学制药,300086
751,化学制药,603520
752,化学制药,600521
753,化学制药,000953
754,化学制药,603168
755,化学制药,300573
756,化学制药,300584
757,化学制药,300434
758,化学制药,601089
759,化学制药,605177
760,化学制药,000153
761,化学制药,300194
762,化学制药,688221
763,化学制药,002393
764,化学制药,002370
765,化学制药,688690
766,化学制药,002294
767,化学制药,000597
768,化学制药,603229
769,化学制药,600613
770,化学制药,832566
771,化学制药,002332
772,化学制药,300199
773,化学制药,000931
774,化学制药,300254
775,化学制药,301277
776,化学制药,688658
777,化学制药,300702
778,化学制药,002923
779,化学制药,300436
780,化学制药,002099
781,化学制药,301281
782,化学制药,000963
783,化学制药,605116
784,化学制药,600789
785,化学制药,300110
786,化学制药,603367
787,化学制药,600851
788,化学制药,600276
789,化学制药,873167
790,化学制药,836547
791,化学制药,002550
792,化学制药,301211
793,化学制药,600062
794,化学制药,301246
795,化学制药,600420
796,化学制药,600488
797,化学制药,300452
798,化学制药,300558
799,化学制药,001367
800,化学制药,000756
801,化学制药,830946
802,化学制药,600079
803,化学制药,600196
804,化学制药,300705
805,化学制药,000788
806,化学制药,300381
807,化学制药,600380
808,化学制药,600664
809,化学制药,000766
810,化学制药,605507
811,化学制药,603207
812,化学制药,000788
813,化学制药,002262
814,化学制药,300233
815,化学制药,000915
816,化学制药,000813
817,化学制药,900904
818,化学制药,603707
819,化学制药,430478
820,化学制药,600216
821,化学制药,301507
822,化学制药,002001
823,化学制药,300016
824,化学制药,688321
825,化学制药,688566
826,化学制药,002399
827,化学制药,002020
828,化学制药,002675
829,化学制药,900917
830,化学制药,000566
831,化学制药,688505
832,化学制药,603538
833,化学制药,002755
834,化学制药,000739
835,化学制药,301089
836,化学制药,603456
837,化学制药,002422
838,化学制药,002872
839,化学制药,832735
840,化学制药,301258
841,化学制药,300725
842,化学制药,688553
843,化学制药,430017
844,化学制药,603676
845,化学制药,600267
846,化学制药,300363
847,化学制药,002900
848,化学制药,002365
849,化学制药,600200
850,化学制药,688091
851,化学制药,688799
852,汽车零部件,301529
853,汽车零部件,603013
854,汽车零部件,000678
855,汽车零部件,300643
856,汽车零部件,603767
857,汽车零部件,300969
858,汽车零部件,301160
859,汽车零部件,301550
860,汽车零部件,301005
861,汽车零部件,300998
862,汽车零部件,603319
863,汽车零部件,603040
864,汽车零部件,300816
865,汽车零部件,688612
866,汽车零部件,300100
867,汽车零部件,002048
868,汽车零部件,603239
869,汽车零部件,603358
870,汽车零部件,837663
871,汽车零部件,300611
872,汽车零部件,688280
873,汽车零部件,603809
874,汽车零部件,002363
875,汽车零部件,301192
876,汽车零部件,002553
877,汽车零部件,603009
878,汽车零部件,003033
879,汽车零部件,605208
880,汽车零部件,300304
881,汽车零部件,605018
882,汽车零部件,603166
883,汽车零部件,002265
884,汽车零部件,833454
885,汽车零部件,300652
886,汽车零部件,601717
887,汽车零部件,002592
888,汽车零部件,300680
889,汽车零部件,603201
890,汽车零部件,603926
891,汽车零部件,300580
892,汽车零部件,603596
893,汽车零部件,002472
894,汽车零部件,301607
895,汽车零部件,600148
896,汽车零部件,605228
897,汽车零部件,603286
898,汽车零部件,839946
