序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
69,002716,湖南白银,4.85,9.98,0.44,3906569.0,1863663728.16,6.58,4.85,4.56,4.65,4.41,3.0,17.67,122.32,4.13,13691979933.0,10720823577.0,0.0,0.0,28.99,43.07
70,002209,达 意 隆,15.32,9.98,1.39,441234.0,647911908.9,11.63,15.32,13.7,14.19,13.93,10.5,28.41,25.84,4.13,3049125046.0,2379253588.0,0.0,0.0,51.53,65.98
71,603811,诚意药业,11.03,9.97,1.0,164286.0,180295502.0,3.79,11.03,10.65,10.68,10.03,0.77,5.02,19.71,2.96,3610166650.0,3610166650.0,0.0,0.0,35.67,47.46
72,000600,建投能源,8.38,9.97,0.76,440742.0,363894612.16,7.22,8.38,7.83,7.89,7.62,1.07,4.04,8.54,1.42,15161928771.0,9134626341.0,0.0,0.0,30.33,51.54
73,605399,晨光新材,16.76,9.97,1.52,450830.0,714821175.0,11.55,16.76,15.0,16.16,15.24,6.85,14.47,-276.58,2.38,5233164657.0,5221700817.0,0.0,0.0,50.04,43.49
74,603081,大丰实业,13.24,9.97,1.2,701855.0,902529970.0,9.14,13.24,12.14,12.25,12.04,2.02,16.19,43.81,1.83,5738121572.0,5738121572.0,0.0,0.0,20.58,17.17
75,601609,金田股份,8.06,9.96,0.73,620053.0,496559487.0,6.14,8.06,7.61,7.7,7.33,2.52,4.17,19.85,1.48,11973132821.0,11973132821.0,0.0,0.0,39.45,39.21
76,001896,豫能控股,6.74,9.95,0.61,424348.0,280827338.46,4.89,6.74,6.44,6.56,6.13,0.33,2.78,58.05,3.24,10283766164.0,10283766164.0,0.0,0.0,66.42,62.41
77,601908,京运通,4.64,9.95,0.42,200373.0,92973109.0,0.0,4.64,4.64,4.64,4.22,0.16,0.83,-30.64,1.25,11203757275.0,11203757275.0,0.0,0.0,86.35,52.13
78,600149,廊坊发展,5.97,9.94,0.54,298767.0,174136326.0,8.29,5.97,5.52,5.59,5.43,1.05,7.86,80.65,9.49,2269555200.0,2269555200.0,0.0,0.0,41.47,46.32
79,600396,华电辽能,3.99,9.92,0.36,771352.0,302189879.0,11.02,3.99,3.59,3.59,3.63,0.41,5.24,10.09,3.96,5876100200.0,5876100200.0,0.0,0.0,54.05,44.57
80,000767,晋控电力,3.45,9.87,0.31,1174681.0,396826045.4,9.24,3.45,3.16,3.16,3.14,0.87,4.03,43.7,1.77,10615450656.0,10047250204.0,0.0,0.0,29.7,36.36
81,600489,中金黄金,15.22,9.73,1.35,2336957.0,3513425440.0,5.19,15.26,14.54,14.54,13.87,5.56,4.82,17.76,2.78,73776097224.0,73776097224.0,-0.2,-0.2,7.33,30.76
82,301235,华康洁净,25.8,9.69,2.28,103560.0,267615919.92,13.18,27.1,24.0,24.2,23.52,8.43,20.32,-23.52,1.57,2724490217.0,1314571817.0,-0.12,0.31,30.63,27.98
83,688156,路德环境,18.1,9.63,1.59,76173.0,132691963.0,12.72,18.45,16.35,16.58,16.51,4.97,7.56,363.29,2.18,1822926242.0,1822926242.0,-0.44,0.22,10.37,33.78
84,301550,斯菱股份,92.93,9.61,8.15,86069.0,769539550.59,10.47,93.39,84.51,85.0,84.78,2.07,8.83,79.76,8.53,14822335000.0,9056648808.0,0.0,0.12,48.0,86.16
85,688169,石头科技,162.89,9.61,14.28,90412.0,1447437594.0,10.22,166.47,151.28,151.28,148.61,3.64,3.49,39.44,3.26,42202445240.0,42202445240.0,0.1,0.14,23.64,4.49
86,301160,翔楼新材,57.54,9.58,5.03,83700.0,470112499.08,10.84,58.17,52.48,52.48,52.51,3.17,10.97,31.89,4.07,6665967284.0,4388943308.0,0.02,0.3,-8.35,50.51
87,300969,恒帅股份,70.21,9.48,6.08,58860.0,402231057.29,11.98,71.68,64.0,64.15,64.13,4.04,19.39,47.03,6.08,7863520000.0,2131595820.0,0.07,0.01,35.49,20.95
88,300643,万通智控,22.56,9.04,1.87,222369.0,503204924.14,12.42,23.5,20.93,20.94,20.69,3.2,9.64,35.31,4.5,5217079998.0,5203741759.0,-0.04,-0.53,63.36,91.19
89,688716,中研股份,37.16,9.01,3.07,103577.0,377392272.0,7.95,37.28,34.57,34.57,34.09,3.43,15.1,199.71,3.92,4521628800.0,2548379029.0,0.05,0.16,20.14,2.79
90,301227,森鹰窗业,26.78,8.99,2.21,56394.0,151592484.86,17.46,28.9,24.61,24.61,24.57,2.31,16.62,-79.94,1.54,2550272790.0,908777292.0,0.0,0.83,64.4,65.31
91,300648,星云股份,37.43,8.81,3.03,114439.0,416344466.11,10.96,37.97,34.2,34.4,34.4,1.96,10.78,-405.45,4.68,6523352802.0,3974670702.0,0.0,0.0,48.53,62.74
92,300414,中光防雷,14.01,8.77,1.13,774426.0,1074447349.97,14.36,14.86,13.01,13.07,12.88,1.61,24.7,406.29,4.66,4567532719.0,4392693018.0,0.0,-0.28,98.44,76.23
93,300946,恒而达,50.86,8.61,4.03,105893.0,519047944.44,9.48,50.94,46.5,47.33,46.83,1.66,13.97,99.08,6.71,7934556708.0,3855406698.0,0.0,0.02,132.77,144.75
94,300329,海伦钢琴,8.75,8.43,0.68,254777.0,221827500.63,10.04,9.03,8.22,8.3,8.07,4.71,10.1,-57.12,3.13,2212776825.0,2206228771.0,0.0,-0.23,31.38,71.23
95,301516,中远通,18.56,8.41,1.44,227888.0,430347811.35,21.03,20.54,16.94,17.1,17.12,3.05,32.47,-75.84,3.96,5209824573.0,1302456148.0,0.38,0.0,29.16,-3.83
96,688137,近岸蛋白,42.39,8.14,3.19,24024.0,98907970.0,8.88,42.48,39.0,39.39,39.2,2.4,7.35,-62.98,1.42,2974736859.0,1385111859.0,-0.14,0.78,30.19,27.68
97,688583,思看科技,102.4,8.07,7.65,22051.0,226158469.0,11.24,106.65,96.0,96.0,94.75,0.82,12.47,83.9,8.15,9052160000.0,1810432102.0,-0.03,-0.19,31.15,304.42
98,301176,逸豪新材,37.3,8.05,2.78,237995.0,861548896.42,9.59,37.77,34.46,34.62,34.52,0.92,42.23,-1023.65,4.11,6306186679.0,2102062239.0,0.13,0.54,136.23,125.51
99,688392,骄成超声,72.7,7.99,5.38,39969.0,284022426.0,8.87,73.49,67.52,68.0,67.32,1.3,5.65,89.0,4.91,8413815272.0,5143679197.0,-0.21,-0.41,55.08,79.68
100,300517,海波重科,11.76,7.99,0.87,127237.0,146246121.1,9.18,11.88,10.88,10.98,10.89,2.9,10.26,908.59,2.31,2356816002.0,1458496356.0,-0.17,-0.08,21.36,41.52
101,300551,古鳌科技,13.17,7.77,0.95,1277702.0,1705343683.52,11.54,14.16,12.75,13.0,12.22,3.46,37.06,-22.55,8.32,4553566207.0,4540528157.0,-0.08,0.38,57.16,32.1
102,300922,天秦装备,27.96,7.66,1.99,179725.0,496894259.78,14.4,29.5,25.76,25.81,25.97,2.1,14.42,119.93,4.92,4433962786.0,3485706599.0,0.04,-0.18,36.99,97.32
103,300992,泰福泵业,27.12,7.62,1.92,96572.0,256414209.74,9.13,27.28,24.98,25.18,25.2,1.84,12.49,29.59,3.0,2581222017.0,2097279177.0,0.0,0.26,42.21,1.46
104,301252,同星科技,26.76,7.56,1.88,105143.0,282245248.29,12.86,28.09,24.89,24.89,24.88,2.83,22.23,31.35,3.65,4501032000.0,1265915250.0,0.04,0.04,28.28,16.15
105,300226,上海钢联,30.33,7.52,2.12,1194995.0,3701743958.55,7.9,32.13,29.9,31.38,28.21,4.33,39.01,46.59,4.74,9666820729.0,9291767289.0,0.1,-0.2,53.49,32.62
106,002927,泰永长征,16.3,7.52,1.14,474711.0,775725803.45,10.88,16.68,15.03,15.13,15.16,1.95,21.51,67.09,3.58,3638032534.0,3596474380.0,-0.18,0.43,23.86,10.58
107,688215,瑞晟智能,40.74,7.49,2.84,29608.0,118853931.0,10.08,41.57,37.75,38.03,37.9,1.75,4.74,318.36,5.52,2543123979.0,2543123979.0,0.34,0.54,104.52,143.51
108,002196,方正电机,9.53,7.44,0.66,994657.0,945420892.56,9.7,9.76,8.9,8.91,8.87,4.49,20.37,-78.57,3.41,4725659493.0,4654551179.0,0.11,0.32,18.68,77.8
109,920002,万达轴承,131.3,7.36,9.0,49905.0,644706031.51,9.57,134.0,122.3,124.0,122.3,2.66,15.66,80.6,8.65,5974539698.0,4182951067.0,0.01,0.15,-19.87,174.23
