,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
210,通用设备,300990,同飞股份,84.8237452,38.84141616,34.25,4.5,-0.48,11.79,28.03,22.48
211,通用设备,301548,崇德科技,43.2912,13.05452704,38.92,2.94,-0.49,0.65,12.48,15.69
212,通用设备,300470,中密控股,77.40335851,73.43866476,20.51,2.89,-0.5,4.31,6.95,0.05
213,通用设备,300154,瑞凌股份,40.63979017,28.50352237,22.98,2.35,-0.51,4.51,-2.27,-15.99
214,通用设备,688360,德马科技,52.77550797,50.4824356,41.71,3.8,-0.53,3.14,43.54,52.05
215,通用设备,002871,伟隆股份,25.01081207,14.54370641,24.56,2.72,-0.54,-0.19,20.82,13.58
216,通用设备,300145,南方泵业,70.30494864,69.68615482,26.34,2.61,-0.54,7.96,2.23,-1.35
217,通用设备,300193,佳士科技,44.67223171,39.36370203,23.57,2.04,-0.56,7.69,3.08,7.82
218,通用设备,688697,纽威数控,60.59667285,60.59667285,24.69,3.78,-0.57,0.3,7.64,15.62
219,通用设备,002282,博深股份,40.61923663,38.70536714,17.38,1.16,-0.6,6.04,11.42,6.93
220,通用设备,603088,宁波精达,45.36563333,39.33405585,31.18,4.34,-0.66,-1.31,-7.29,3.08
221,通用设备,605123,派克新材,94.06496346,94.06496346,30.69,2.11,-0.68,28.21,44.51,45.1
222,通用设备,300992,泰福泵业,25.69800681,20.87999181,29.46,2.99,-0.71,16.44,41.58,1.01
223,通用设备,603090,宏盛股份,24.99,24.99,26.62,4.37,-0.73,-0.67,11.86,45.21
224,通用设备,603315,福鞍股份,40.40575189,39.56088189,38.22,2.38,-0.74,2.85,5.52,17.63
225,通用设备,688379,华光新材,31.67406883,31.67406883,8.3,2.96,-0.74,12.77,69.77,74.49
226,通用设备,603308,应流股份,162.76503491,162.76503491,44.21,3.48,-0.76,15.42,35.12,70.85
227,通用设备,300441,鲍斯股份,52.26212689,50.84639404,28.05,2.22,-0.77,2.65,-5.7,-3.68
228,通用设备,301028,东亚机械,48.50547559,31.38042702,21.6,3.21,-0.82,3.87,16.94,18.15
229,通用设备,601882,海天精工,99.0756,99.0756,25.04,3.79,-0.82,1.12,-0.84,-12.01
230,通用设备,002598,山东章鼓,34.761086,31.42419938,41.72,2.86,-0.95,3.43,20.82,17.88
231,通用设备,300988,津荣天宇,29.25199893,22.22424372,25.63,2.43,-1.05,2.35,14.56,16.68
232,通用设备,000811,冰轮环境,112.9622209,110.33791085,30.13,1.95,-1.16,21.95,33.57,23.16
233,通用设备,603270,金帝股份,55.91602142,18.04689342,36.15,2.56,-1.18,-3.36,11.39,31.89
234,通用设备,603082,北自科技,62.71716812,15.67929754,37.14,4.14,-1.21,0.97,2.74,16.03
235,通用设备,688059,华锐精密,43.30979605,43.30979605,37.05,3.56,-1.28,2.18,25.83,57.75
236,通用设备,002158,汉钟精机,94.32533812,94.12741908,20.04,2.36,-1.29,1.9,4.01,-1.67
237,通用设备,600558,大西洋,49.00922377,49.00922377,29.91,2.03,-1.33,3.4,20.53,34.15
