,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),29日平均涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
1566,农药兽药,300871,回盛生物,42.12563837,42.12563837,23.67,2.17,-2.57,-7.34,-0.2,-19.61,109.25
1567,农药兽药,300804,广康生化,33.8994,12.59775,49.53,2.53,-2.76,3.49,0.66,91.03,103.06
1568,农药兽药,002258,利尔化学,93.49106823,93.3407603,15.27,1.21,-3.1,-1.71,0.02,19.92,44.73
1569,农药兽药,002215,诺 普 信,107.35443191,83.7883129,4.28,2.61,-3.24,-7.0,-0.16,28.06,-1.84
1570,农药兽药,300796,贝斯美,37.95611585,37.95611585,36.52,2.19,-3.83,-3.56,-0.1,15.75,2.94
1571,农药兽药,002734,利民股份,93.27926438,84.51941575,21.57,2.94,-15.57,19.98,0.66,78.48,173.96
1572,农药兽药,002250,联化科技,95.50771066,95.00477955,48.03,1.49,-26.66,5.45,0.67,68.22,90.89
1573,航空机场,000089,深圳机场,146.83509684,146.83315605,22.54,1.3,0.09,0.57,0.02,10.66,5.76
1574,航空机场,600897,厦门空港,63.373968,63.373968,12.55,1.42,-0.18,3.15,0.09,8.34,-0.2
1575,航空机场,603885,吉祥航空,279.11587325,279.11587325,20.23,3.28,-0.18,-6.45,-0.23,-0.16,-6.03
1576,航空机场,002928,华夏航空,109.67312499,109.67312499,33.45,3.18,-0.54,-0.46,-0.01,10.85,10.57
1577,航空机场,600004,白云机场,225.07490871,225.07490871,19.02,1.23,-0.57,-1.49,-0.05,9.69,0.74
1578,航空机场,601021,春秋航空,541.80104966,541.80104966,20.0,3.19,-0.88,-5.1,-0.2,4.2,-3.97
1579,航空机场,600009,上海机场,795.06978813,613.02335539,38.3,1.88,-1.39,-2.46,-0.07,-0.71,-6.44
1580,航空机场,000099,中信海直,168.41969674,168.41969674,46.16,3.17,-3.5,-1.86,-0.08,1.16,-17.26
1581,电池,300014,亿纬锂能,926.71183814,843.22989464,21.04,2.48,6.98,0.07,0.02,12.16,-2.03
1582,电池,002850,科达利,296.75480531,213.56889691,19.15,2.57,1.47,-4.51,-0.06,-4.35,13.4
